2,3,Party,Votes,Round,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,19,R-5,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,15,R-6,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,17,R-7,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,18,R-8,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,13,R-9,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,14,R-10,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,40,R-11,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,33,R-12,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,65,R-13,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,32,R-14,,,,,,,
SUNU BHASKARAN,Chathannur,Bahujan Samaj Party,8,R-15,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,19,R-1,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,6,R-2,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,9,R-3,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,5,R-4,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,11,R-5,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,29,R-6,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,97,R-7,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,51,R-8,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,26,R-9,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,10,R-10,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,113,R-11,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,80,R-12,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,32,R-13,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,24,R-14,,,,,,,
SHANMUGHAN PARAVUR,Chathannur,Anna Democratic Human Rights Movement Party of India,6,R-15,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,7,R-1,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,7,R-2,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,5,R-3,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,10,R-4,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,9,R-5,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,8,R-6,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,10,R-7,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,7,R-8,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,9,R-9,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,13,R-10,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,10,R-11,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,3,R-12,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,10,R-13,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,11,R-14,,,,,,,
VARINJAM RAJEEV,Chathannur,Independent,3,R-15,,,,,,,
SETHU,Chathannur,Independent,7,R-1,,,,,,,
SETHU,Chathannur,Independent,4,R-2,,,,,,,
SETHU,Chathannur,Independent,9,R-3,,,,,,,
SETHU,Chathannur,Independent,8,R-4,,,,,,,
SETHU,Chathannur,Independent,4,R-5,,,,,,,
SETHU,Chathannur,Independent,4,R-6,,,,,,,
SETHU,Chathannur,Independent,11,R-7,,,,,,,
SETHU,Chathannur,Independent,9,R-8,,,,,,,
SETHU,Chathannur,Independent,12,R-9,,,,,,,
SETHU,Chathannur,Independent,13,R-10,,,,,,,
SETHU,Chathannur,Independent,44,R-11,,,,,,,
SETHU,Chathannur,Independent,18,R-12,,,,,,,
SETHU,Chathannur,Independent,13,R-13,,,,,,,
SETHU,Chathannur,Independent,10,R-14,,,,,,,
SETHU,Chathannur,Independent,2,R-15,,,,,,,
NOTA,Chathannur,None of the Above,35,R-1,,,,,,,
NOTA,Chathannur,None of the Above,32,R-2,,,,,,,
NOTA,Chathannur,None of the Above,38,R-3,,,,,,,
NOTA,Chathannur,None of the Above,38,R-4,,,,,,,
NOTA,Chathannur,None of the Above,38,R-5,,,,,,,
NOTA,Chathannur,None of the Above,35,R-6,,,,,,,
NOTA,Chathannur,None of the Above,44,R-7,,,,,,,
NOTA,Chathannur,None of the Above,56,R-8,,,,,,,
NOTA,Chathannur,None of the Above,47,R-9,,,,,,,
NOTA,Chathannur,None of the Above,45,R-10,,,,,,,
NOTA,Chathannur,None of the Above,49,R-11,,,,,,,
NOTA,Chathannur,None of the Above,51,R-12,,,,,,,
NOTA,Chathannur,None of the Above,46,R-13,,,,,,,
NOTA,Chathannur,None of the Above,41,R-14,,,,,,,
NOTA,Chathannur,None of the Above,21,R-15,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,40,R-1,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,67,R-2,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,60,R-3,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,357,R-4,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,281,R-5,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,178,R-6,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,95,R-7,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,172,R-8,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,124,R-9,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,328,R-10,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,63,R-11,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,81,R-12,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,63,R-13,,,,,,,
Anu M.C,Varkala,Bahujan Samaj Party,11,R-14,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5389,R-1,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5930,R-2,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5188,R-3,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),4662,R-4,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5044,R-5,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5089,R-6,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5347,R-7,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),4994,R-8,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),4887,R-9,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5338,R-10,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),5125,R-11,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),4414,R-12,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),4869,R-13,,,,,,,
Adv. V Joy,Varkala,Communist Party of India (Marxist),598,R-14,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,4052,R-1,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3731,R-2,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3677,R-3,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3625,R-4,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,4041,R-5,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,4012,R-6,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,4398,R-7,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3875,R-8,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3576,R-9,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3475,R-10,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3744,R-11,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3633,R-12,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,3680,R-13,,,,,,,
Adv. BRM Shafeer,Varkala,Indian National Congress,330,R-14,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,689,R-1,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,643,R-2,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,632,R-3,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,833,R-4,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,995,R-5,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,805,R-6,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,820,R-7,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,1056,R-8,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,761,R-9,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,926,R-10,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,1089,R-11,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,808,R-12,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,761,R-13,,,,,,,
Aji S,Varkala,Bharath Dharma Jana Sena,139,R-14,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,122,R-1,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,21,R-2,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,56,R-3,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,8,R-4,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,18,R-5,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,7,R-6,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,4,R-7,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,24,R-8,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,45,R-9,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,74,R-10,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,19,R-11,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,18,R-12,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,39,R-13,,,,,,,
Anilkumar P,Varkala,Democratic Human Rights Movement Party,0,R-14,,,,,,,
Prince,Varkala,Independent,17,R-1,,,,,,,
Prince,Varkala,Independent,35,R-2,,,,,,,
Prince,Varkala,Independent,177,R-3,,,,,,,
Prince,Varkala,Independent,72,R-4,,,,,,,
Prince,Varkala,Independent,31,R-5,,,,,,,
Prince,Varkala,Independent,18,R-6,,,,,,,
Prince,Varkala,Independent,19,R-7,,,,,,,
Prince,Varkala,Independent,56,R-8,,,,,,,
Prince,Varkala,Independent,77,R-9,,,,,,,
Prince,Varkala,Independent,42,R-10,,,,,,,
Prince,Varkala,Independent,33,R-11,,,,,,,
Prince,Varkala,Independent,15,R-12,,,,,,,
Prince,Varkala,Independent,19,R-13,,,,,,,
Prince,Varkala,Independent,4,R-14,,,,,,,
Shefeer,Varkala,Independent,24,R-1,,,,,,,
Shefeer,Varkala,Independent,16,R-2,,,,,,,
Shefeer,Varkala,Independent,22,R-3,,,,,,,
Shefeer,Varkala,Independent,27,R-4,,,,,,,
Shefeer,Varkala,Independent,35,R-5,,,,,,,
Shefeer,Varkala,Independent,33,R-6,,,,,,,
Shefeer,Varkala,Independent,24,R-7,,,,,,,
Shefeer,Varkala,Independent,21,R-8,,,,,,,
Shefeer,Varkala,Independent,24,R-9,,,,,,,
Shefeer,Varkala,Independent,26,R-10,,,,,,,
Shefeer,Varkala,Independent,17,R-11,,,,,,,
Shefeer,Varkala,Independent,28,R-12,,,,,,,
Shefeer,Varkala,Independent,13,R-13,,,,,,,
Shefeer,Varkala,Independent,3,R-14,,,,,,,
NOTA,Varkala,None of the Above,59,R-1,,,,,,,
NOTA,Varkala,None of the Above,61,R-2,,,,,,,
NOTA,Varkala,None of the Above,52,R-3,,,,,,,
NOTA,Varkala,None of the Above,50,R-4,,,,,,,
NOTA,Varkala,None of the Above,54,R-5,,,,,,,
NOTA,Varkala,None of the Above,43,R-6,,,,,,,
NOTA,Varkala,None of the Above,36,R-7,,,,,,,
NOTA,Varkala,None of the Above,49,R-8,,,,,,,
NOTA,Varkala,None of the Above,71,R-9,,,,,,,
NOTA,Varkala,None of the Above,95,R-10,,,,,,,
NOTA,Varkala,None of the Above,93,R-11,,,,,,,
NOTA,Varkala,None of the Above,70,R-12,,,,,,,
NOTA,Varkala,None of the Above,61,R-13,,,,,,,
NOTA,Varkala,None of the Above,7,R-14,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4079,R-1,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4673,R-2,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4924,R-3,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4330,R-4,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4811,R-5,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4355,R-6,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4702,R-7,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4946,R-8,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4565,R-9,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4289,R-10,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4669,R-11,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4058,R-12,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),5284,R-13,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),4886,R-14,,,,,,,
O S AMBIKA,Attingal,Communist Party of India (Marxist),2432,R-15,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,60,R-1,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,65,R-2,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,91,R-3,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,44,R-4,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,68,R-5,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,55,R-6,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,107,R-7,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,56,R-8,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,63,R-9,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,55,R-10,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,41,R-11,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,48,R-12,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,60,R-13,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,53,R-14,,,,,,,
VIPINLAL VIDHYADHARAN,Attingal,Bahujan Samaj Party,28,R-15,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2680,R-1,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2178,R-2,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2437,R-3,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2147,R-4,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2738,R-5,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2593,R-6,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2975,R-7,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2313,R-8,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2788,R-9,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2129,R-10,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2305,R-11,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2298,R-12,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2562,R-13,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,2158,R-14,,,,,,,
ADV. A SREEDHARAN,Attingal,Revolutionary Socialist Party,1371,R-15,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2275,R-1,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,3012,R-2,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2929,R-3,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2477,R-4,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,1945,R-5,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2490,R-6,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2082,R-7,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,1917,R-8,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,1817,R-9,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2740,R-10,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2649,R-11,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2857,R-12,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,3722,R-13,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,2576,R-14,,,,,,,
ADV. P SUDHEER,Attingal,Bharatiya Janata Party,1967,R-15,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,24,R-1,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,17,R-2,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,16,R-3,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,15,R-4,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,27,R-5,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,14,R-6,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,27,R-7,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,26,R-8,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,28,R-9,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,57,R-10,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,20,R-11,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,10,R-12,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,22,R-13,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,18,R-14,,,,,,,
ASHA PRAKASH,Attingal,Anna Democratic Human Rights Movement Party of India,11,R-15,,,,,,,
AMBILI,Attingal,Independent,14,R-1,,,,,,,
AMBILI,Attingal,Independent,15,R-2,,,,,,,
AMBILI,Attingal,Independent,8,R-3,,,,,,,
AMBILI,Attingal,Independent,8,R-4,,,,,,,
AMBILI,Attingal,Independent,16,R-5,,,,,,,
AMBILI,Attingal,Independent,4,R-6,,,,,,,
AMBILI,Attingal,Independent,15,R-7,,,,,,,
AMBILI,Attingal,Independent,10,R-8,,,,,,,
AMBILI,Attingal,Independent,17,R-9,,,,,,,
AMBILI,Attingal,Independent,14,R-10,,,,,,,
AMBILI,Attingal,Independent,12,R-11,,,,,,,
AMBILI,Attingal,Independent,7,R-12,,,,,,,
AMBILI,Attingal,Independent,16,R-13,,,,,,,
AMBILI,Attingal,Independent,13,R-14,,,,,,,
AMBILI,Attingal,Independent,9,R-15,,,,,,,
NOTA,Attingal,None of the Above,73,R-1,,,,,,,
NOTA,Attingal,None of the Above,84,R-2,,,,,,,
NOTA,Attingal,None of the Above,50,R-3,,,,,,,
NOTA,Attingal,None of the Above,48,R-4,,,,,,,
NOTA,Attingal,None of the Above,67,R-5,,,,,,,
NOTA,Attingal,None of the Above,68,R-6,,,,,,,
NOTA,Attingal,None of the Above,63,R-7,,,,,,,
NOTA,Attingal,None of the Above,63,R-8,,,,,,,
NOTA,Attingal,None of the Above,56,R-9,,,,,,,
NOTA,Attingal,None of the Above,62,R-10,,,,,,,
NOTA,Attingal,None of the Above,92,R-11,,,,,,,
NOTA,Attingal,None of the Above,95,R-12,,,,,,,
NOTA,Attingal,None of the Above,103,R-13,,,,,,,
NOTA,Attingal,None of the Above,46,R-14,,,,,,,
NOTA,Attingal,None of the Above,62,R-15,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,71,R-1,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,64,R-2,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,94,R-3,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,56,R-4,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,60,R-5,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,51,R-6,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,79,R-7,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,74,R-8,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,109,R-9,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,91,R-10,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,100,R-11,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,75,R-12,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,87,R-13,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,54,R-14,,,,,,,
Anil Mangalapuram,Chirayinkeezhu,Bahujan Samaj Party,12,R-15,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3944,R-1,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3145,R-2,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,4066,R-3,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3464,R-4,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,2983,R-5,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3745,R-6,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,2383,R-7,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3006,R-8,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,2889,R-9,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,2903,R-10,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,2872,R-11,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3036,R-12,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3956,R-13,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,3453,R-14,,,,,,,
B. S. Anoop,Chirayinkeezhu,Indian National Congress,1557,R-15,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,1015,R-1,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,2192,R-2,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,2841,R-3,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,1878,R-4,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,2478,R-5,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,2623,R-6,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,3534,R-7,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,2888,R-8,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,2485,R-9,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,1919,R-10,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,3307,R-11,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,1145,R-12,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,629,R-13,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,1016,R-14,,,,,,,
Ashanath G. S,Chirayinkeezhu,Bharatiya Janata Party,419,R-15,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4729,R-1,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,3247,R-2,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4015,R-3,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4398,R-4,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4054,R-5,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4233,R-6,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4874,R-7,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4379,R-8,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4264,R-9,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4194,R-10,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,3750,R-11,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4503,R-12,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,4327,R-13,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,3901,R-14,,,,,,,
V. Sasi,Chirayinkeezhu,Communist Party of India,1833,R-15,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,23,R-1,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,27,R-2,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,20,R-3,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,61,R-4,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,15,R-5,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,17,R-6,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,29,R-7,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,26,R-8,,,,,,,
Advocate G. Anil Kumar,Chirayinkeezhu,Welfare Party Of India,89,R-9,,,,,,,
